Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:5,Ability:3,ApCost,ActionPoints,30,30,30,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,ApCost,client_bin,abilityexport.bin
claim:6,Ability:3,CareerLine,CareerLineId,8,8,8,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,CareerLine,client_bin,abilityexport.bin
claim:2,Ability:3,CastTime,Milliseconds,0,0,0,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,CastTime,client_bin,abilityexport.bin
claim:3,Ability:3,Cooldown,Milliseconds,20000,20000,20000,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,Cooldown,client_bin,abilityexport.bin
claim:121,Ability:3,Description,AbilityDescription,"You cause your Battle Squig to bounce, dealing {COM_0_VAL0_DAMAGE} and knocking your target down for {COM_1_DURA_SECONDS}.","You cause your Battle Squig to bounce, dealing {COM_0_VAL0_DAMAGE} and knocking your target down for {COM_1_DURA_SECONDS}.","You cause your Battle Squig to bounce, dealing {COM_0_VAL0_DAMAGE} and knocking your target down for {COM_1_DURA_SECONDS}.",client_strings,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line=4;EntryId=3,4,0,value,localized_string,abilitydesc.txt
claim:1,Ability:3,EffectId,EffectId,3,3,3,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,EffectId,client_bin,abilityexport.bin
claim:120,Ability:3,Name,AbilityName,Bounce,Bounce^n,Bounce,client_strings,abilitynames.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitynames.txt,line=4;EntryId=3,4,0,value,localized_string,abilitynames.txt
claim:4,Ability:3,Range,Feet,60,60,60,client_bin,abilityexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,record=935;AbilityId=3;offset=181369,0,181369,Range,client_bin,abilityexport.bin
claim:122,Component:148,Description,ComponentDescription,,,,client_strings,componenteffects.txt,C:\Users\Admin\Downloads\myps\data\strings\english\componenteffects.txt,line=149;EntryId=148,149,0,value,localized_string,componenteffects.txt
claim:94,Component:148,Duration,Milliseconds,0,0,0,client_bin,abilitycomponentexport.bin,C:\Users\Admin\Downloads\myps\data\bin\abilitycomponentexport.bin,record=6620;ComponentId=148;offset=1158063,0,1158063,Duration,client_bin,abilitycomponentexport.bin
