Id,Kind,FromNodeId,ToNodeId,Label,ClaimId
edge:1,declared_by,ability:692,row:abilityexport.bin|record=1418;AbilityId=692;offset=276919,abilityexport.bin,
edge:12,declared_by,component:212,row:abilitycomponentexport.bin|record=6673;ComponentId=212;offset=1169435,abilitycomponentexport.bin,
edge:13,declared_by,component:3439,row:abilitycomponentexport.bin|record=1933;ComponentId=3439;offset=330323,abilitycomponentexport.bin,
edge:14,declared_by,component:3440,row:abilitycomponentexport.bin|record=1934;ComponentId=3440;offset=330489,abilitycomponentexport.bin,
edge:6,declared_by,effect:232,row:abilities.csv|line=267;EffectId=232,abilities.csv,
edge:7,declared_by,effect:232,row:effects.csv|line=253;EffectId=232,effects.csv,
edge:10,declared_by,effect:2841,row:effects.csv|line=2944;EffectId=2841,effects.csv,
edge:11,declared_by,effect:2842,row:effects.csv|line=2945;EffectId=2842,effects.csv,
edge:8,linked_effect,effect:232,effect:2841,Cast,claim:10
edge:9,linked_effect,effect:232,effect:2842,Projectile,claim:11
edge:17,localized_component_description,component:212,row:componenteffects.txt|line=213;EntryId=212,componenteffects.txt,claim:28
edge:18,localized_component_description,component:3439,row:componenteffects.txt|line=3440;EntryId=3439,componenteffects.txt,claim:29
edge:19,localized_component_description,component:3440,row:componenteffects.txt|line=3441;EntryId=3440,componenteffects.txt,claim:30
edge:16,localized_description,ability:692,row:abilitydesc.txt|line=693;EntryId=692,abilitydesc.txt,claim:27
edge:15,localized_name,ability:692,row:abilitynames.txt|line=693;EntryId=692,abilitynames.txt,claim:26
edge:5,uses_component,ability:692,component:212,abilityexport.bin,
edge:3,uses_component,ability:692,component:3439,abilityexport.bin,
edge:4,uses_component,ability:692,component:3440,abilityexport.bin,
edge:2,uses_effect,ability:692,effect:232,abilityexport.bin,
