FromTable,FromColumn,FromColumnIndex,ToTable,DistinctValues,Resolved,ResolveRate,TargetDensity,Samples
"data/gamedata/abilities.csv","Effect",8,"data/gamedata/itemdata.csv",5087,5087,1.0000,1.0000,"1 = 4111; 2 = 0; 3 = 0"
"data/gamedata/abilities.csv","Effect",8,"data/gamedata/objects.csv",5087,5087,1.0000,1.0000,"1 = WORLD OBJ QI_Dw_coffin01; 2 = WORLD OBJ or_roadwall_pillar; 3 = WORLD OBJ dw_mine_wallsupport"
"data/gamedata/abilities.csv","Effect",8,"data/gamedata/packages.csv",5087,5087,1.0000,1.0000,"1 = 0; 2 = 0; 3 = 0"
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/abilitydesc.txt",5087,5087,1.0000,1.0000,"1 = A powerful attack that deals {COM_0_VAL0_DAMAGE} and reduces the threat generated by your pet's next attack.; 2 = You force your Battle Squig to claw at your target, dealing {COM_0_VAL0_TOD_DAMAGE} over {COM_0_DURA_SECONDS} and snaring them by {COM_1_VAL0}% over {COM_1_DURA_SECONDS}.; 3 = You cause your Battle Squig to bounce, dealing {COM_0_VAL0_DAMAGE} and knocking your target down for {COM_1_DURA_SECONDS}."
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/abilitynames.txt",5087,5087,1.0000,1.0000,"1 = Ard Noggin^n; 2 = Big Claw^n; 3 = Bounce^n"
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/componenteffects.txt",5087,5087,1.0000,1.0000,"10 = Attempting to Resurrect.; 20 = Periodically recovering <<1>> Health.; 41 = Inflicting <<1>>% Damage to everyone but taunter."
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/objectivenames.txt",5087,5087,1.0000,0.7072,"1 = Cannon Battery; 2 = The Lookout; 3 = Sharpthorn Wud"
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/packageinfo.txt",5087,5087,1.0000,1.0000,"601 = Increases Strength by 3; 602 = Increases Strength by 9; 605 = Increases Strength by 42"
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/packagenames.txt",5087,5087,1.0000,1.0000,"1 = Me Ol' Choppa; 2 = Me Ol' Shield; 3 = Dis Ol' Choppa"
"data/gamedata/abilities.csv","Effect",8,"data/gamedata/anim_db.csv",5087,4829,0.9493,0.0910,"1 = null-inloop; 2 = DEM_Un_Int_wobble; 3 = aim"
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/scenariolobby.txt",5087,4820,0.9475,1.0000,"2000 = Capture the Gate Switch, Supply Room, and the Ammunitions Cache located on the upper floors of the gate.  Most important, kill all enemies you find!; 2001 = Find the Mourkain artifact and seize it for your realm. Killing the enemy while carrying the Mourkain Artifact will yield more points, but slaying the artifact bearer also yields increased rewards. Carrying the Artifact will inflict damage to the carrier over time.; 2002 = Blackfire Basin features a shared Capture the Flag mechanic. Earn points by killing other players and capturing the single shared flag in the middle of the frozen lake! Carrying the flag for too long will eventually snare the flag carrier and eventually drain your will to fight."
"data/gamedata/abilities.csv","Effect",8,"data/strings/english/scenarioscore.txt",5087,4820,0.9475,1.0000,"2000 = Capture the Gate Switch, Supply Room, and the Ammunitions Cache located on the upper floors of the gate.  Most important, kill all enemies you find!; 2001 = Find the Mourkain artifact and seize it for your realm. Killing the enemy while carrying the Mourkain Artifact will yield more points, but slaying the artifact bearer also yields increased rewards. Carrying the Artifact will inflict damage to the carrier over time.; 2002 = Blackfire Basin features a shared Capture the Flag mechanic. Earn points by killing other players and capturing the single shared flag in the middle of the frozen lake! Carrying the flag for too long will eventually snare the flag carrier and eventually drain your will to fight."
"data/gamedata/objects.csv","#",3,"data/gamedata/itemdata.csv",4112,4112,1.0000,1.0000,"200 = 1060; 201 = 1061; 202 = 1097"
"data/gamedata/objects.csv","#",3,"data/strings/english/abilitydesc.txt",4112,3807,0.9258,1.0000,"200 = The most super mega-awesome test ability ever made. EVAR!!!!; 201 = Stops your AP Regen. Fired from a standstill it will reduce your AP to half. Fired while moving forward will max your AP and fired while moving backwards will bottom it out. Casting this ability again on your self from a standstill will remove the effect.; 206 = So much AP! Regain 250 AP every 2 seconds."
"data/gamedata/objects.csv","#",3,"data/strings/english/abilitynames.txt",4112,3807,0.9258,1.0000,"26 = Bomb Turret GFXMOD Autoattack Override^n; 35 = Runes Of Warding^n; 200 = Corbin's Test Ability^n"
"data/gamedata/objects.csv","#",3,"data/strings/english/componenteffects.txt",4112,3807,0.9258,1.0000,"314 = AP Regen is halted.; 323 = Roots fade faster.; 326 = Immune to Stagger, Knockdown, Disarm, and Silence effects."
"data/gamedata/effectdef.csv","NIF",2,"data/gamedata/effectnifs.csv",3622,3622,1.0000,0.9997,"3 = vfx_Cast_GS_Staff; 4 = vfx_orc_CastingLoop_L1; 5 = vfx_orc_CastingLoop_L2"
"data/gamedata/effectdef.csv","NIF",2,"data/gamedata/itemdata.csv",3622,3622,1.0000,1.0000,"3 = 0; 4 = 2486; 5 = 2488"
"data/gamedata/effectdef.csv","NIF",2,"data/gamedata/objects.csv",3622,3622,1.0000,1.0000,"3 = WORLD OBJ dw_mine_wallsupport; 4 = WORLD OBJ dw_ropecoil01; 5 = WORLD OBJ QI_dw_pick"
"data/gamedata/effectdef.csv","NIF",2,"data/gamedata/packages.csv",3622,3622,1.0000,1.0000,"3 = 0; 4 = 0; 5 = 0"
