AbilityId,Name,CoverageStatus,EffectId,HasClientCsv,HasClientBin,HasLocalizedName,HasDescriptionText,HasEffectText,HasRootEffectRow,RelatedEffectCount,ComponentCount,RequirementLinkCount,RequirementRowCount,HasPregameReference,SourcesText,MissingText
0,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
1,Ard Noggin,MappedWithRequirements,1,Yes,Yes,Yes,Yes,No,Yes,2,3,6,6,No,"csv, bin, strings, requirements",effect-text
2,Big Claw,MappedWithRequirements,2,Yes,Yes,Yes,Yes,No,Yes,2,2,6,6,No,"csv, bin, strings, requirements",effect-text
3,Bounce,MappedWithRequirements,3,Yes,Yes,Yes,Yes,No,Yes,42,4,6,6,No,"csv, bin, strings, requirements",effect-text
4,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
5,KABOOM!,Mapped,5,Yes,Yes,Yes,Yes,No,Yes,1,7,0,0,No,"csv, bin, strings",effect-text
6,Death From Above,MappedWithRequirements,7,Yes,Yes,Yes,Yes,No,Yes,2,3,1,1,No,"csv, bin, strings, requirements",effect-text
7,Spine Fling,Mapped,8,Yes,Yes,Yes,Yes,No,Yes,7,2,0,0,No,"csv, bin, strings",effect-text
8,Poisoned Spine,Mapped,9,Yes,Yes,Yes,Yes,No,Yes,48,2,0,0,No,"csv, bin, strings",effect-text
9,Gore,Mapped,10,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
10,Head Butt,Mapped,11,Yes,Yes,Yes,Yes,No,Yes,9,3,0,0,No,"csv, bin, strings",effect-text
11,Goop Shootin',Mapped,12,Yes,Yes,Yes,Yes,No,Yes,8,1,0,0,No,"csv, bin, strings",effect-text
12,Spore Cloud,MappedWithRequirements,13,Yes,Yes,Yes,Yes,No,Yes,10,4,2,1,No,"csv, bin, strings, requirements",effect-text
13,Gas Squig Autoattack,Mapped,14,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
14,Spiked Squig Autoattack,Mapped,15,Yes,Yes,Yes,Yes,No,Yes,43,6,0,0,No,"csv, bin, strings",effect-text
15,Farty Squig Sub,Mapped,16,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
16,Bad Breath Sub,Mapped,17,Yes,Yes,Yes,Yes,No,Yes,1,2,0,0,No,"csv, bin, strings",effect-text
17,Squig Squeal,Mapped,18,Yes,Yes,Yes,Yes,No,Yes,3,6,0,0,No,"csv, bin, strings",effect-text
18,Git Em!,Mapped,19,Yes,Yes,Yes,Yes,No,Yes,3,6,0,0,No,"csv, bin, strings",effect-text
19,Chow Time!,Mapped,20,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
20,; TEST Engineer Pets,StringsOnly,,No,No,Yes,Yes,Yes,No,0,0,0,0,No,strings,"csv, bin, effect-row, components"
21,Penetrating Round,Mapped,21,Yes,Yes,Yes,Yes,Yes,Yes,6,2,0,0,No,"csv, bin, strings",(none)
22,Machine Gun,Mapped,22,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
23,Gun Turret GFXMOD Autoattack Override,Partial,,No,Yes,Yes,Yes,Yes,No,0,7,0,0,No,"bin, strings","csv, effect-row"
24,Shock Grenade,Mapped,24,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
25,High-Explosive Grenade,Mapped,25,Yes,Yes,Yes,Yes,Yes,Yes,4,2,0,0,No,"csv, bin, strings",(none)
26,Bomb Turret GFXMOD Autoattack Override,Partial,,No,Yes,Yes,Yes,Yes,No,0,6,0,0,No,"bin, strings","csv, effect-row"
27,Flamethrower,Mapped,27,Yes,Yes,Yes,Yes,Yes,Yes,3,2,0,0,No,"csv, bin, strings",(none)
28,Steam Vent,Mapped,28,Yes,Yes,Yes,Yes,Yes,Yes,3,2,0,0,No,"csv, bin, strings",(none)
29,Flame Turret GFXMOD Autoattack Override,Partial,,No,Yes,Yes,Yes,Yes,No,0,6,0,0,No,"bin, strings","csv, effect-row"
30,Camouflage,Mapped,30,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
31,Detonation,Mapped,31,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,0,No,"csv, bin, strings",(none)
32,Bugman's Brew,Mapped,32,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
33,Arming,Mapped,30,Yes,Yes,Yes,Yes,No,Yes,1,2,0,0,No,"csv, bin, strings",effect-text
34,Runes Of Warding,Mapped,737,Yes,Yes,Yes,Yes,No,Yes,1,3,0,0,No,"csv, bin, strings",effect-text
35,Runes Of Warding,Mapped,737,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
36,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
37,Shock,Mapped,718,Yes,Yes,Yes,Yes,No,Yes,1,3,0,0,No,"csv, bin, strings",effect-text
38,Turrets - No Autoattack,Partial,,No,Yes,Yes,Yes,No,No,0,1,0,0,No,"bin, strings","csv, effect-text, effect-row"
39,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
40,; TEST White Lion Pets,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
41,Bite,Mapped,34,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
42,Claw Sweep,Mapped,35,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
43,Terrifying Roar,Mapped,36,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
44,Lion's Roar,Mapped,37,Yes,Yes,Yes,Yes,No,Yes,2,5,0,0,No,"csv, bin, strings",effect-text
45,Shred,Mapped,38,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
46,Leg Tear,Mapped,39,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
47,Fang And Claw,Mapped,40,Yes,Yes,Yes,Yes,No,Yes,2,1,0,0,No,"csv, bin, strings",effect-text
48,Maul,Mapped,41,Yes,Yes,Yes,Yes,No,Yes,16,1,0,0,No,"csv, bin, strings",effect-text
49,Gut Ripper,Mapped,42,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
50,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
51,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
52,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
53,; TEST Magus Pets,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
54,Daemonic Fire,Mapped,44,Yes,Yes,Yes,Yes,No,Yes,6,2,0,0,No,"csv, bin, strings",effect-text
55,Daemonic Consumption,Mapped,45,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
56,Warping Energy,Mapped,46,Yes,Yes,Yes,Yes,No,Yes,6,2,0,0,No,"csv, bin, strings",effect-text
57,Coruscating Energy,Mapped,47,Yes,Yes,Yes,Yes,No,Yes,3,3,0,0,No,"csv, bin, strings",effect-text
58,Flame Of Tzeentch,Mapped,2065,Yes,Yes,Yes,Yes,No,Yes,4,2,0,0,No,"csv, bin, strings",effect-text
59,Flames Of Change,Mapped,49,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
60,Warped Claw,Mapped,430,Yes,Yes,Yes,Yes,No,Yes,19,2,0,0,No,"csv, bin, strings",effect-text
61,Breath of Change,Mapped,431,Yes,Yes,Yes,Yes,No,Yes,37,2,0,0,No,"csv, bin, strings",effect-text
62,; TEST /end Pet section,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
63,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
64,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
65,Runepriest's Strength,Mapped,2945,Yes,Yes,Yes,Yes,No,Yes,8,2,0,0,No,"csv, bin, strings",effect-text
66,Runepriest's Armor,Mapped,2946,Yes,Yes,Yes,Yes,No,Yes,8,2,0,0,No,"csv, bin, strings",effect-text
67,Runepriest's Ward,Mapped,2947,Yes,Yes,Yes,Yes,No,Yes,8,2,0,0,No,"csv, bin, strings",effect-text
68,Runepriest's Regeneration,Mapped,2948,Yes,Yes,Yes,Yes,No,Yes,22,2,0,0,No,"csv, bin, strings",effect-text
69,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
70,Bolt Thrower,Mapped,1,Yes,Yes,Yes,Yes,No,Yes,2,2,0,0,No,"csv, bin, strings",effect-text
71,All controlled pets - Mounted Speed,Partial,,No,Yes,Yes,Yes,No,No,0,2,0,0,No,"bin, strings","csv, effect-text, effect-row"
72,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
73,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
74,Sub Test,MappedWithRequirements,538,Yes,Yes,Yes,Yes,No,Yes,1,1,1,1,No,"csv, bin, strings, requirements",effect-text
75,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
76,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
77,Lightning Test 1 (proj to all from cast),Mapped,2389,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
78,Lightning Test 2 (ptp after CTAR),Mapped,2389,Yes,Yes,Yes,Yes,No,Yes,1,2,0,0,No,"csv, bin, strings",effect-text
79,(unnamed),BlankSlot,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
80,Test Stacking,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
81,Test GTAE,Mapped,2829,Yes,Yes,Yes,Yes,No,Yes,51,2,0,0,No,"csv, bin, strings",effect-text
82,VFX Testing,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
83,QA Death AE,Mapped,1502,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
84,GTAE w/Proj for Nate,Mapped,1580,Yes,Yes,Yes,Yes,No,Yes,3,1,0,0,No,"csv, bin, strings",effect-text
85,Sticky Grenade TEST For Nate,Mapped,478,Yes,Yes,Yes,Yes,No,Yes,1,3,0,0,No,"csv, bin, strings",effect-text
86,VFX Anim Bug TEST for Nate,Mapped,2158,Yes,Yes,Yes,Yes,No,Yes,9,2,0,0,No,"csv, bin, strings",effect-text
87,Use Test,Mapped,300,Yes,Yes,Yes,Yes,No,Yes,3,2,0,0,No,"csv, bin, strings",effect-text
88,Decal Test,Mapped,78,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
89,Coug Test,Mapped,78,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
90,Test Counter Add,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
91,Coug Test 2,Mapped,78,Yes,Yes,Yes,Yes,No,Yes,1,1,0,0,No,"csv, bin, strings",effect-text
92,Ground Target Test,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
93,Rune of Purging,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
94,Rune of Recovery,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
95,Rune of Rebirth,StringsOnly,,No,No,Yes,Yes,No,No,0,0,0,0,No,strings,"csv, bin, effect-text, effect-row, components"
96,AutoAttack Blocker,Mapped,2032,Yes,Yes,Yes,Yes,Yes,Yes,2,1,0,0,No,"csv, bin, strings",(none)
97,Channel Test: Maintain,MappedWithRequirements,1542,Yes,Yes,Yes,Yes,Yes,Yes,2,2,1,1,No,"csv, bin, strings, requirements",(none)
98,Channel Test: Repeated Projectiles,Mapped,1580,Yes,Yes,Yes,Yes,Yes,Yes,3,1,0,0,No,"csv, bin, strings",(none)
99,Channel Test: Multi Swing,Mapped,727,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
100,Black Orc Console Test 1,Mapped,100,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
101,Black Orc Console Test 2,Mapped,101,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
102,Black Orc Console Test 3,Mapped,102,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
103,Choppa Console Test 1,Mapped,103,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
104,Choppa Console Test 2,Mapped,104,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
105,Choppa Console Test 3,Mapped,105,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,No,"csv, bin, strings",(none)
