GlobalRank,PriorityScore,RawValue,ObservationCount,DistinctSourceCount,DistinctComponentCount,DistinctAbilityCount,DistinctRequirementCount,SourceKeys,ContextTags,SampleAbilityIds,SampleRequirementIds,Interpretation,Notes,Summary
1,609147,1016,22,6,17,165,5,"CC ExtData[*].Val6, IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0]","CrowdControl, Damage, Disarm, Immunity, Knockback, Root, Silence, Snare, Stagger","5, 122, 408, 411, 608, 648, 670, 672, 1365, 1370, 1377, 1418","9093, 9214, 9410, 9441, 9487",Root-side control/status literal,"High-confidence from `Immovable`, breakable-root CC families, paired APPLY_ABILITY control overlays, and requirement `9093`.","Observed 22 time(s) across 6 source group(s): CC ExtData[*].Val6, IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0]"
2,503418,708,43,5,41,95,1,"KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6","Damage, Knockback, Snare, Stun","4651, 4652, 4653, 4654, 4655, 4656, 4657, 4658, 4659, 4660, 4661, 4662",9091,Movement-control profile with strongest knockback usage,"Anchored by generic `Knockback`, `Triumphant Blasting`, `Exile`, `Snare Net`, and `Boss Immunities`. Safe reading: reused movement-control/displacement family spanning `KNOCKBACK`, `VELOCITY`, and `CC`; exact retail enum name is still unresolved.","Observed 43 time(s) across 5 source group(s): KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6"
3,454207,100,432,4,389,431,43,"APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, KNOCKBACK ExtData[*].Val6","Damage, Disarm, Heal, Silence, Snare","758, 776, 779, 797, 800, 818, 1432, 1438, 1439, 1443, 1447, 1449","9004, 9005, 9006, 9007, 9008, 9116, 9117, 9126, 9128, 9130, 9132, 9133",,,"Observed 432 time(s) across 4 source group(s): APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, KNOCKBACK ExtData[*].Val6"
4,426178,445,53,4,16,5,26,"Requirements ExtData[*].Val6, CC ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6","Damage, Knockback","3263, 3482, 3483, 9328, 9345","9373, 9374, 9375, 9376, 9377, 9378, 9379, 9380, 9381, 9382, 9383, 9384",Hatred threshold selector family,"High-confidence from `Exile`, `None Shall Pass`, `Hatred`, and Black Guard requirement ladders. `Val7` behaves like bracket edges or floor thresholds, and paired `3/5` plus `3/4` rows create ranges like `0-29`, `30-59`, `60-89`, and `90-100`. Do not use effect-id `445` (`Siege Wrecker`) as semantic evidence for this literal; that is a cross-domain numeric collision.","Observed 53 time(s) across 4 source group(s): Requirements ExtData[*].Val6, CC ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6"
5,413192,48,17,4,13,367,4,"APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0]","Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Stagger, Stun","3, 6, 230, 379, 885, 906, 1369, 1384, 1443, 1494, 1525, 1536","9092, 9094, 9095, 9096",,,"Observed 17 time(s) across 4 source group(s): APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, IMMUNITY Value[0]"
6,412668,1,168,4,159,140,9,"CC FlagsRaw, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6","Damage, Heal, Immunity, Knockdown, Root, Snare, Stun","122, 264, 334, 608, 1370, 1418, 1444, 1519, 1602, 1681, 1734, 1748","9166, 9253, 9254, 9255, 9298, 9403, 9407, 9416, 9554",,,"Observed 168 time(s) across 4 source group(s): CC FlagsRaw, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6"
7,406635,2,60,4,52,23,6,"APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, CC FlagsRaw","Damage, Heal","1465, 1690, 1748, 1906, 3313, 3330, 3915, 4132, 5469, 5499, 8081, 9032","9076, 9295, 9403, 9407, 9438, 9554",,,"Observed 60 time(s) across 4 source group(s): APPLY_ABILITY ExtData[*].Val6, Requirements ExtData[*].Val6, CC ExtData[*].Val6, CC FlagsRaw"
8,404019,1030,44,4,41,39,3,"IMMUNITY ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]","CrowdControl, Damage, Snare, Stagger","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169","9217, 9409, 9487",Stun control/status literal,Recovered from toolkit enum-backed immunity notes and reused throughout the `Unstoppable` immunity bundle.,"Observed 44 time(s) across 4 source group(s): IMMUNITY ExtData[*].Val6, KNOCKBACK ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0]"
9,403361,1019,11,4,8,14,3,"IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0], APPLY_ABILITY ExtData[*].Val6","CrowdControl, Damage, Disarm, Immunity, Root, Snare, Stun","1377, 1740, 1774, 3882, 8019, 8330, 8408, 9016, 9173, 9194, 9330, 13196","9220, 9221, 9410",Snare control/status literal,Recovered from toolkit enum-backed immunity notes and consistent with snare-linked control families.,"Observed 11 time(s) across 4 source group(s): IMMUNITY ExtData[*].Val6, Requirements ExtData[*].Val6, IMMUNITY Value[0], APPLY_ABILITY ExtData[*].Val6"
10,402949,21,24,4,23,77,1,"CC ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6","Damage, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stun","5, 10, 648, 670, 672, 882, 903, 1010, 1365, 1520, 1531, 1540",9090,,,"Observed 24 time(s) across 4 source group(s): CC ExtData[*].Val6, APPLY_ABILITY ExtData[*].Val6, IMMUNITY Value[0], Requirements ExtData[*].Val6"
