RawValue,SourceKey,SourceLabel,ObservationCount,DistinctComponentCount,DistinctAbilityCount,DistinctRequirementCount,SampleComponentIds,SampleAbilityIds,SampleRequirementIds,TriggerSummary,ContextTagSummary,CompanionSummary
1016,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,6,6,15,0,"545, 1456, 9683, 11543, 12250, 18668","1370, 1418, 1519, 1681, 8024, 8069, 8168, 8336, 8449, 8480, 9018, 9224",,"OnApply, OnPreviousComponentApplied","Damage, Root, Snare","FlagsRaw=1 (6), Val1=2 (6), Val2=6 (6), Val3=1 (6), Val4=8 (6)"
1016,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,6,6,7,0,"436, 462, 12899, 12908, 17999, 27837","408, 411, 3255, 8408, 9173, 14271, 27832",,"OnApply, OnPreviousComponentApplied","CrowdControl, Immunity, Root, Snare","Val1=7 (6), Val2=8 (6), Val3=6 (6), Value[0]=12 (6), Value[1]=100 (6)"
1016,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,5,0,12,5,,"122, 1377, 1740, 3631, 4800, 5209, 8019, 8330, 9016, 9186, 9330, 13003","9093, 9214, 9410, 9441, 9487",,"Damage, Disarm, Root","Val1=1 (5), Val2=6 (4), Val3=1 (3), Val3=6 (2), Val4=8 (2)"
1016,Operation:24:ExtData[*].Val6,KNOCKBACK ExtData[*].Val6,3,3,4,0,"754, 8408, 12974","1831, 8094, 9092, 9396",,"OnApply, OnPreviousComponentApplied","Damage, Snare, Stagger","Val1=2 (3), Val2=6 (3), Val3=1 (3), Val4=8 (3), Value[0]=25180 (2)"
1016,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,1,1,141,0,343,"5, 608, 648, 670, 672, 1365, 1370, 1418, 1519, 1520, 1531, 1540",,"OnBuffEnded, OnPreviousComponentApplied","Damage, Knockback, Root, Silence, Snare","Val1=2 (1), Val2=8 (1), Val3=6 (1), Val4=9 (1), Val9=1 (1)"
1016,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24944,13196,,OnApply,,"FlagsRaw=1 (1), Value[1]=100 (1)"
708,Operation:24:ExtData[*].Val6,KNOCKBACK ExtData[*].Val6,39,38,92,0,"4611, 4613, 4614, 8095, 8457, 8557, 8705, 9068, 9148, 9222, 9223, 9263","4651, 4652, 4653, 4654, 4655, 4656, 4657, 4658, 4659, 4660, 4661, 4662",,"OnApply, OnBuffEnded, OnPreviousComponentApplied","Knockback, Stun","Val2=6 (39), Val3=1 (39), Val4=8 (39), Val9=1 (38), Val1=2 (25)"
708,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,1,1,1,0,12514,9514,,OnEventTriggered,,"Val1=2 (1), Val2=6 (1), Val3=1 (1), Val4=8 (1), Val9=1 (1)"
708,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,1,1,1,0,26568,24824,,OnPreviousComponentTick,"Damage, Snare","Val1=2 (1), Val2=6 (1), Val3=6 (1), Val4=8 (1), Val7=1 (1)"
708,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24576,23894,,OnApply,,"FlagsRaw=1 (1), Val1=3 (1), Val2=11 (1), Val3=1 (1), Val4=8 (1)"
708,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,1,0,4,1,,"14157, 14301, 14302, 14303",9091,,,"Val1=1 (1), Val2=6 (1), Val3=1 (1), Val4=8 (1)"
100,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,373,373,384,0,"854, 858, 954, 1135, 1192, 1575, 1579, 1583, 1774, 1775, 1790, 2013","758, 776, 779, 797, 800, 818, 1432, 1438, 1439, 1443, 1447, 1449",,"OnApply, OnBuffEndedRemoved, OnEventTriggered, OnPreviousComponentApplied, OnPreviousComponentBuffTick, OnPreviousComponentTick","Damage, Heal, Silence, Snare","Val2=9 (373), Val3=4 (373), Val4=8 (373), Val1=1 (366), Val7=5 (171)"
100,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,43,0,16,43,,"8158, 8159, 8160, 8163, 8165, 8166, 8169, 8170, 9470, 9471, 9472, 9475","9004, 9005, 9006, 9007, 9008, 9116, 9117, 9126, 9128, 9130, 9132, 9133",,"Damage, Disarm, Heal, Silence, Snare","Val1=1 (43), Val2=9 (42), Val3=4 (39), Val4=8 (25), Val4=9 (7)"
100,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,15,15,31,0,"576, 578, 609, 1099, 4065, 4362, 4987, 5019, 5901, 8411, 14100, 14110","3636, 4091, 4334, 5011, 5707, 14379, 14380, 14383, 14384, 14387, 14388, 14391",,"OnApply, OnPreviousComponentApplied, OnPreviousComponentTick",,"Val2=9 (15), Val3=4 (15), Val4=8 (15), Val1=1 (12), Value15=4 (12)"
100,Operation:24:ExtData[*].Val6,KNOCKBACK ExtData[*].Val6,1,1,6,0,17006,"17005, 17013, 17021, 17029, 17037, 17045",,OnPreviousComponentApplied,,"Val1=2 (1), Val2=9 (1), Val3=4 (1), Val4=8 (1), Val7=50 (1)"
445,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,26,0,0,26,,,"9373, 9374, 9375, 9376, 9377, 9378, 9379, 9380, 9381, 9382, 9383, 9384",,,"Val1=1 (26), Val2=3 (26), Val3=5 (26), Val4=8 (26), Val7=15 (7)"
445,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,12,7,1,0,"11573, 11576, 12342, 12343, 12344, 12345, 12346",3482,,OnApply,,"FlagsRaw=2175 (12), Val1=1 (12), Val2=3 (12), Val4=8 (12), Val5=3 (12)"
445,Operation:24:ExtData[*].Val6,KNOCKBACK ExtData[*].Val6,8,5,1,0,"12353, 12354, 12355, 12356, 12357",3483,,OnApply,,"Val1=1 (8), Val2=3 (8), Val4=8 (8), Val5=3 (8), Value[3]=2 (6)"
445,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,7,4,3,0,"12675, 12703, 12704, 12705","3263, 9328, 9345",,"OnApply, OnEventTriggered, OnPreviousComponentApplied","Damage, Knockback","Val1=1 (7), Val2=3 (7), Val4=8 (7), Val5=3 (7), Val3=5 (4)"
48,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,9,9,362,0,"327, 329, 331, 333, 335, 337, 344, 357, 359","3, 6, 230, 379, 1369, 1384, 1443, 1494, 1525, 1536, 1607, 1613",,OnPreviousComponentApplied,"Damage, Disarm, Heal, Immunity, Knockdown, Root, Silence, Stagger, Stun","Val1=2 (9), Val2=6 (9), Val3=1 (9), Val4=8 (9), Val9=1 (9)"
48,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,4,0,17,4,,"6, 885, 906, 1443, 1755, 3218, 3650, 8405, 8412, 8423, 8607, 9253","9092, 9094, 9095, 9096",,"Damage, Disarm, Silence","Val1=1 (4), Val2=6 (4), Val3=1 (4), Val4=8 (4)"
48,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,3,3,8,0,"11126, 11635, 27652","3581, 3582, 3583, 3584, 3585, 9028, 27749, 27773",,"OnApply, OnPreviousComponentApplied","Damage, Disarm, Immunity, Knockdown, Silence, Stun","FlagsRaw=2175 (3), Val1=2 (3), Val2=6 (3), Val3=1 (3), Val4=8 (3)"
48,Operation:38:Value[0],IMMUNITY Value[0],1,1,1,0,24549,23894,,OnApply,,"FlagsRaw=1 (1), Val1=3 (1), Val2=11 (1), Val3=1 (1), Val4=8 (1)"
1,Operation:12:FlagsRaw,CC FlagsRaw,73,73,82,0,"545, 602, 621, 710, 721, 729, 1022, 1023, 1194, 1456, 1477, 1923","122, 608, 1370, 1418, 1519, 1681, 3631, 3941, 4023, 4032, 4093, 4196",,"OnApply, OnBuffEnded, OnPreviousComponentApplied","Damage, Immunity, Knockdown, Root, Snare, Stun","Value15=4 (65), Val3=1 (55), Val4=8 (55), Val7=1 (53), Val1=2 (50)"
1,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,60,60,22,0,"1915, 3280, 3378, 3669, 3670, 3822, 3879, 3880, 3883, 3884, 5534, 11801","264, 334, 1602, 1734, 1748, 3263, 3270, 3313, 3330, 5499, 9035, 9166",,"OnApply, OnPreviousComponentApplied","Damage, Heal","Val1=1 (59), Val2=17 (59), Val4=8 (58), Val3=1 (54), FlagsRaw=16 (40)"
1,Operation:38:Value[0],IMMUNITY Value[0],26,26,32,0,"4197, 4499, 5862, 5940, 10643, 10654, 10655, 13109, 13836, 13891, 18555, 23792","4499, 5197, 5262, 5853, 10777, 10781, 10782, 13055, 13162, 13163, 13164, 13165",,"OnApply, OnPreviousComponentApplied","Damage, Immunity","Value[1]=100 (24), Val4=8 (19), Val3=1 (15), Val7=1 (11), Val1=7 (9)"
1,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,9,0,4,9,,"1444, 1756, 3915, 9258","9166, 9253, 9254, 9255, 9298, 9403, 9407, 9416, 9554",,Heal,"Val1=1 (9), Val3=6 (5), Val2=17 (4), Val3=1 (4), Val4=8 (4)"
2,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,52,50,16,0,"3279, 3669, 3670, 3818, 3819, 3820, 3822, 3823, 3879, 3880, 3883, 3884","1465, 1748, 1906, 3313, 3330, 5499, 8081, 9250, 24552, 24553, 24554, 24555",,"OnApply, OnPreviousComponentApplied","Damage, Heal","Val1=1 (51), Val4=8 (50), Val2=17 (46), Val3=1 (46), FlagsRaw=16 (32)"
2,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,6,0,5,6,,"1690, 3915, 9032, 9258, 9321","9076, 9295, 9403, 9407, 9438, 9554",,"Damage, Heal","Val1=1 (6), Val3=6 (5), Val4=9 (5), Val2=17 (3), Val2=82 (3)"
2,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,1,1,1,0,5489,5469,,OnApply,,"FlagsRaw=2559 (1), Val1=2 (1), Val2=68 (1), Val3=6 (1), Val4=8 (1)"
2,Operation:12:FlagsRaw,CC FlagsRaw,1,1,1,0,4098,4132,,OnApply,,"Val1=2 (1), Val2=2 (1), Val3=1 (1), Val4=8 (1), Val7=1 (1)"
1030,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,36,36,33,0,"326, 328, 330, 332, 334, 336, 463, 464, 465, 466, 467, 468","158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169",,"OnApply, OnPreviousComponentApplied",CrowdControl,"Val2=8 (36), Val3=6 (36), Val4=9 (36), Value[0]=12 (36), Val1=3 (30)"
1030,Operation:24:ExtData[*].Val6,KNOCKBACK ExtData[*].Val6,3,3,4,0,"754, 8408, 12974","1831, 8094, 9092, 9396",,"OnApply, OnPreviousComponentApplied","Damage, Snare, Stagger","Val1=2 (3), Val2=6 (3), Val3=1 (3), Val4=8 (3), Value[0]=25180 (2)"
1030,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,3,0,0,3,,,"9217, 9409, 9487",,,"Val1=1 (3), Val2=8 (2), Val3=6 (2), Val2=6 (1), Val3=1 (1)"
1030,Operation:38:Value[0],IMMUNITY Value[0],2,2,2,0,"12858, 24947","3176, 13196",,OnApply,,"FlagsRaw=1 (2), Val1=2 (1), Val2=1 (1), Val3=1 (1), Val4=8 (1)"
1019,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,5,5,4,0,"12889, 12898, 12907, 17994, 27832","9173, 9194, 14271, 27832",,OnApply,"CrowdControl, Damage, Immunity, Root, Snare, Stun","Val1=7 (5), Val2=8 (5), Val3=6 (5), Value[0]=8 (5), Value[1]=100 (5)"
1019,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,3,0,6,3,,"1377, 1740, 8019, 8330, 9016, 9330","9220, 9221, 9410",,"Disarm, Root","Val1=1 (3), Val2=6 (3), Val4=9 (2), Val3=1 (1), Val3=5 (1)"
1019,Operation:38:Value[0],IMMUNITY Value[0],2,2,3,0,"367, 24946","3882, 8408, 13196",,"OnApply, OnPreviousComponentApplied","Immunity, Root, Snare","FlagsRaw=1 (2), Value[1]=100 (2)"
1019,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,1,1,1,0,3579,1774,,OnPreviousComponentApplied,"Damage, Snare","Val1=1 (1), Val2=6 (1), Val3=1 (1), Val4=8 (1), Value[0]=3302 (1)"
21,Operation:12:ExtData[*].Val6,CC ExtData[*].Val6,13,13,14,0,"4008, 4054, 4065, 4068, 4090, 4100, 4209, 5019, 5050, 5061, 5064, 5999","4022, 4073, 4091, 4094, 4126, 4209, 5011, 5015, 5024, 5043, 5046, 5993",,"OnApply, OnPreviousComponentApplied, OnPreviousComponentTick",Stun,"Val2=6 (13), Val3=1 (13), Val4=8 (13), Val9=1 (13), FlagsRaw=255 (11)"
21,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,9,9,60,0,"142, 143, 459, 1637, 2080, 2081, 9058, 9788, 11575","5, 10, 648, 670, 672, 882, 903, 1010, 1365, 1520, 1531, 1540",,"OnApply, OnPreviousComponentApplied","Damage, Immunity, Knockback, Knockdown, Root, Silence, Snare","Val1=1 (9), Val2=6 (9), Val3=1 (9), Val4=8 (9), Val9=1 (9)"
21,Operation:38:Value[0],IMMUNITY Value[0],1,1,2,0,5949,"5976, 23894",,OnApply,,"Val1=3 (1), Val2=11 (1), Val3=1 (1), Val4=8 (1), Val5=3 (1)"
21,Requirement:ExtData[*].Val6,Requirements ExtData[*].Val6,1,0,1,1,,3665,9090,,,"Val1=1 (1), Val2=8 (1), Val3=1 (1), Val4=9 (1), Val7=1 (1)"
1014,Operation:38:ExtData[*].Val6,IMMUNITY ExtData[*].Val6,6,6,6,0,"496, 497, 17982, 17983, 27830, 27831","186, 187, 408, 3180, 14271, 27832",,OnApply,CrowdControl,"Val1=7 (6), Val2=8 (6), Val3=6 (6), Val4=8 (6), Value[1]=100 (6)"
1014,Operation:38:Value[0],IMMUNITY Value[0],2,2,2,0,"18448, 24942","13196, 14045",,OnApply,,"FlagsRaw=1 (2), Value[1]=100 (2), Val1=2 (1), Val2=40 (1), Val3=6 (1)"
1014,Operation:23:ExtData[*].Val6,APPLY_ABILITY ExtData[*].Val6,1,1,1,0,9317,8499,,OnPreviousComponentApplied,,"Val1=1 (1), Val2=6 (1), Val3=1 (1), Val4=8 (1), Val9=1 (1)"
