OperationId,OperationName,AbilityId,AbilityName,ComponentId,ComponentSlotIndex,TriggerText,ContextTags,TextExcerpt,SourcePath,SourceLocation
23,APPLY_ABILITY,3,Bounce,329,2,3 -> OnPreviousComponentApplied,Damage,"You cause your Battle Squig to bounce, dealing {COM_0_VAL0_DAMAGE} and knocking your target down for {COM_1_DURA_SECONDS}.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 4
23,APPLY_ABILITY,5,KABOOM!,142,2,3 -> OnPreviousComponentApplied,Damage,"Your Battle Squig explodes, causing you to be launched upward out of your Squiggy armor. All enemies within {COM_1_RADI_FEET} take {COM_3_VAL0_DAMAGE} and are knocked back.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 6
23,APPLY_ABILITY,5,KABOOM!,343,6,3 -> OnPreviousComponentApplied,Damage,"Your Battle Squig explodes, causing you to be launched upward out of your Squiggy armor. All enemies within {COM_1_RADI_FEET} take {COM_3_VAL0_DAMAGE} and are knocked back.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 6
23,APPLY_ABILITY,6,;/end,329,1,3 -> OnPreviousComponentApplied,Damage,"Your Squig bounces on it's target dealing {COM_2_VAL0_DAMAGE}, and knocking them down for {COM_0_DURA_SECONDS}.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 7
23,APPLY_ABILITY,9,Poisoned Spine,1699,1,3 -> OnPreviousComponentApplied,Damage,"Your Squig gores its target, dealing {COM_0_VAL0_DAMAGE} and an additional {ABIL_3881_COM_0_VAL0_TOD_DAMAGE} over {ABIL_3881_COM_0_DURA_SECONDS}.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 10
23,APPLY_ABILITY,10,Gore,142,2,3 -> OnPreviousComponentApplied,Damage,"Your Squig slams it's head in to it's target, dealing {COM_0_VAL0_DAMAGE} and knocking them back.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 11
23,APPLY_ABILITY,31,Detonation,3447,1,3 -> OnPreviousComponentApplied,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 186941
23,APPLY_ABILITY,31,Detonation,18322,2,3 -> OnPreviousComponentApplied,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 186941
23,APPLY_ABILITY,33,"TEST MOUNT Icon, can delete",3196,1,3 -> OnPreviousComponentApplied,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 187329
23,APPLY_ABILITY,34,Bite,3113,2,8 -> OnPreviousComponentBuffTick,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 187523
23,APPLY_ABILITY,49,Flames Of Change,12269,1,3 -> OnPreviousComponentApplied,Damage,"Deals {COM_0_VAL0_DAMAGE} to the target, and an additional {COM_1_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_1_VAL0_COM_0_DURA_SECONDS}.",C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line 50
23,APPLY_ABILITY,84,Flamethrower,3123,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 194061
23,APPLY_ABILITY,133,Infusion Of Power,15530,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 202015
23,APPLY_ABILITY,174,Confusing Movements,484,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 208611
23,APPLY_ABILITY,180,Shatter Will,490,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 209775
23,APPLY_ABILITY,181,Implacable Resolve,491,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 209969
23,APPLY_ABILITY,183,Pierce,493,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 210357
23,APPLY_ABILITY,195,Focused Mind,1596,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 212491
23,APPLY_ABILITY,216,Sub target Self Damage,455,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 216371
23,APPLY_ABILITY,230,Steal Life,329,1,3 -> OnPreviousComponentApplied,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 218637
23,APPLY_ABILITY,232,Rampaging Siphon,418,0,1 -> OnApply,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 219025
23,APPLY_ABILITY,233,New AE Taunt,12630,1,3 -> OnPreviousComponentApplied,,,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 219219
