DomainKey,DisplayName,RawValue,Meaning,Confidence,Source,SourcePath,SourceLocation,Notes
CareerLine.EntryId,Career Line Entry IDs,0,None,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 1,Referenced by 10512 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,1,Ironbreaker,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 2,Referenced by 62 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,2,Slayer,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 3,Referenced by 59 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,3,Runepriest,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 4,Referenced by 59 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,4,Engineer,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 5,Referenced by 53 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,5,Black Orc,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 6,Referenced by 53 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,6,Choppa,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 7,Referenced by 61 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,7,Shaman,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 8,Referenced by 57 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,8,Squig Herder,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 9,Referenced by 27 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,9,Witch Hunter,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 10,Referenced by 54 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,10,Knight of the Blazing Sun,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 11,
CareerLine.EntryId,Career Line Entry IDs,11,Bright Wizard,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 12,Referenced by 58 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,12,Warrior Priest,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 13,Referenced by 77 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,13,Chosen,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 14,Referenced by 58 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,14,Marauder,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 15,Referenced by 58 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,15,Zealot,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 16,Referenced by 54 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,16,Magus,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 17,Referenced by 17 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,17,Swordmaster,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 18,Referenced by 53 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,18,Shadow Warrior,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 19,Referenced by 54 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,19,White Lion,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 20,Referenced by 1 ability BIN row(s).
CareerLine.EntryId,Career Line Entry IDs,20,Archmage,Confirmed,careerlines_m.txt,C:\Users\Admin\Downloads\myps\data\strings\english\careerlines_m.txt,line 21,Referenced by 59 ability BIN row(s).
