RequirementId,RecordCount,FieldCount,DirectAbilityCount,DirectComponentCount,ParentRequirementCount,ChildRequirementCount,ContextTags,SampleAbilities,SemanticSummary,Notes
9002,1,9,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9003,1,4,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9004,1,11,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9005,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9006,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9007,1,5,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9008,1,10,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9009,1,17,21,4,0,0,Damage,"241 (Hold The Line!), 611 (Shield Wall), 1361 (Shield Sweep), 1369 (Shield of Reprisal), 1378 (Hold The Line!), 1382 (Oathstone), 1405 (Shield Mastery), 1669 (Tuffer 'n Nails)",Observed in Damage contexts; direct ability usage 21; component sources 4.,"Requirement rows: 1; direct abilities: 21; direct components: 4; parent requirements: 0; sample abilities: 241 (Hold The Line!), 611 (Shield Wall), 1361 (Shield Sweep), 1369 (Shield of Reprisal), 1378 (Hold The Line!), 1382 (Oathstone), 1405 (Shield Mastery), 1669 (Tuffer 'n Nails); context tags: Damage."
9010,1,4,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
9011,1,4,0,0,0,0,,,No direct ability or component context is decoded yet.,Requirement rows: 1; direct abilities: 0; direct components: 0; parent requirements: 0.
