RequirementId,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,SemanticSummary,Confidence,Notes
9002,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9002,ExtData[0].Val2,1,1,19,AbilityOperation: 19=TargetRace.,Confirmed,
9002,ExtData[0].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9002,ExtData[0].Val4,1,1,9,AbilityLogicOperator: 9=Or.,Confirmed,
9002,ExtData[0].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9002,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9002,ExtData[1].Val2,1,1,19,AbilityOperation: 19=TargetRace.,Confirmed,
9002,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9002,ExtData[1].Val7,1,1,3,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9003,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9003,ExtData[0].Val2,1,1,47,AbilityOperation: 47=Unk47.,Confirmed,
9003,ExtData[0].Val3,1,1,6,AbilityCondition: 6=LessThan.,Confirmed,
9003,ExtData[0].Val9,1,1,1,Binary flag byte. Position confirmed from decompiled client ExtData schema.,Inferred,
9004,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9004,ExtData[0].Val2,1,1,9,AbilityOperation: 9=Random.,Confirmed,
9004,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9004,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9004,ExtData[0].Val6,1,1,100,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
9004,ExtData[0].Val7,1,1,99,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9004,ExtData[1].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9004,ExtData[1].Val2,1,1,12,AbilityOperation: 12=AbilityType.,Confirmed,
9004,ExtData[1].Val3,1,1,1,AbilityCondition: 1=Equal.,Confirmed,
9004,ExtData[1].Val7,1,1,2,Operation-specific auxiliary parameter. Position confirmed from decompiled client ExtData schema.,Inferred,
9004,ExtData[1].Val9,1,1,1,Binary flag byte. Position confirmed from decompiled client ExtData schema.,Inferred,
9005,ExtData[0].Val1,1,1,1,AbilitySourceType: 1=Cast.,Confirmed,
9005,ExtData[0].Val2,1,1,9,AbilityOperation: 9=Random.,Confirmed,
9005,ExtData[0].Val3,1,1,4,AbilityCondition: 4=LessThanEqual.,Confirmed,
9005,ExtData[0].Val4,1,1,8,AbilityLogicOperator: 8=And.,Confirmed,
9005,ExtData[0].Val6,1,1,100,"Operation-specific reference value (RequirementId child link, ability ID, monster type, or other reference depending on AbilityOperation). Position confirmed from decompiled client ExtData schema.",Inferred,
