RequirementId,Direction,SourceKind,SourceId,SourceLabel,SourceField,ExtSlotIndex,LinkedRequirementId,RelatedAbilities,ContextTags,SourcePath,SourceLocation,Notes
9009,Inbound,Ability,241,Ability 241 (Hold The Line!),ExtData[0].Val6,0,9009,241 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 220383,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,611,Ability 611 (Shield Wall),ExtData[0].Val6,0,9009,611 (Shield Wall),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 271227,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1361,Ability 1361 (Shield Sweep),ExtData[1].Val6,1,9009,1361 (Shield Sweep),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1084625,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1369,Ability 1369 (Shield of Reprisal),ExtData[0].Val6,0,9009,1369 (Shield of Reprisal),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1086408,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1378,Ability 1378 (Hold The Line!),ExtData[0].Val6,0,9009,1378 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1087964,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1382,Ability 1382 (Oathstone),ExtData[1].Val6,1,9009,1382 (Oathstone),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1088645,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1669,Ability 1669 (Tuffer 'n Nails),ExtData[0].Val6,0,9009,1669 (Tuffer 'n Nails),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1129669,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1685,Ability 1685 (Hold The Line!),ExtData[0].Val6,0,9009,1685 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1133235,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1692,Ability 1692 (Can't Hit Me!),ExtData[0].Val6,0,9009,1692 (Can't Hit Me!),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1134564,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,1728,Ability 1728 (Cant' Touch Us),ExtData[1].Val6,1,9009,1728 (Cant' Touch Us),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1139513,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,8011,Ability 8011 (Shield Rush),ExtData[0].Val6,0,9009,8011 (Shield Rush),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1176673,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,8014,Ability 8014 (Hold The Line!),ExtData[0].Val6,0,9009,8014 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1177387,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,8326,Ability 8326 (Hold The Line!),ExtData[0].Val6,0,9009,8326 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1221461,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,9023,Ability 9023 (Hold The Line!),ExtData[0].Val6,0,9009,9023 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1269291,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,9027,Ability 9027 (Crushing Advance),ExtData[2].Val6,2,9009,9027 (Crushing Advance),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1270038,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,9075,Ability 9075 (Shield of Valor),ExtData[1].Val6,1,9009,9075 (Shield of Valor),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1277059,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,9326,Ability 9326 (Hold The Line!),ExtData[0].Val6,0,9009,9326 (Hold The Line!),,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1313179,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
9009,Inbound,Ability,9345,Ability 9345 (None Shall Pass),ExtData[0].Val6,0,9009,9345 (None Shall Pass),Damage,C:\Users\Admin\Downloads\myps\data\bin\abilityexport.bin,byte 1316712,Inferred requirement reference because ExtData[*].Val6 matches a known RequirementId row in abilityrequirementexport.bin.
