Capture,Actor,Model,CreationPacket,Ability,FirstEffectPacket,EffectPackets
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Boneripper^N",1946,104314,0,109825,494
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Boneripper^N",1946,104314,24884,109931,133
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Boneripper^N",1946,104314,24885,110254,713
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Cloud of Corruption^N",1947,105148,23582,108864,9
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Cloud of Corruption^N",1947,105148,24881,105192,1015
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Dominated Rat Ogre^n",1148,65573,0,77552,8
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Dominated Rat Ogre^n",1148,65573,24894,66221,23
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Mantrap^m",1196,171156,0,171246,3
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Mantrap^m",1196,128216,24886,128221,3
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Mantrap^m",1196,122039,24887,122056,6
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Mantrap^m",1196,127911,24888,127924,3
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,0,7718,173
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24865,6636,21
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24867,7705,163
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24868,7079,9
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24893,7521,13
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24895,20306,108
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Skeetk^M",1917,6266,24896,20424,18
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Thanquol^M",1947,104253,0,109137,69
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Thanquol^M",1947,104253,24879,104825,128
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Thanquol^M",1947,104253,24880,104912,135
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Thanquol^M",1947,104253,24882,104781,50
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Throt^M",1948,65560,0,66089,116
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Throt^M",1948,65560,24872,102023,1
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Throt^M",1948,65560,24874,70662,10
"THANQUOL INCURSION (FULL RUN WITH EMPTY IGNORE LIST).log.txt.gz","Throt^M",1948,65560,24875,71140,10
