DatabaseEntry,OurStats,LondoStats
30984,"1:1;3:3;6:9","1:1;3:3;7:9"
37589,"3:12","1:11"
38600,"1:22;5:22;3:11","1:22;5:22;7:11"
43011,"1:14;3:17;7:26","1:14;3:17;4:26"
62912,"3:11","1:11"
69813,"1:6;3:20;5:9","1:6;3:20;4:9"
421061,"1:26;6:7;4:20;5:13;14:85;15:89;16:85","1:26;14:85;15:89;16:85;3:7;4:20;5:13"
430034,"3:8;5:5;6:4;29:1","1:8;29:1;3:4;4:5"
430035,"4:2;5:5;9:10;88:1","31:1;4:4;5:5;9:8"
430042,"3:8;4:2;5:2;6:2","3:4;4:2;6:2;9:6"
430046,"3:6;4:2;5:4;6:2","1:2;3:6;5:4;7:2"
430047,"4:2;5:2;6:2;9:8","3:6;4:2;6:2;9:4"
430091,"4:6;5:9;9:15;88:2","31:2;4:6;5:9;9:15"
430094,"3:15;5:9;6:6;29:2","1:15;3:9;31:2;5:6"
430095,"4:6;5:9;9:15;88:2","31:2;4:6;5:9;9:15"
430103,"4:2;5:7;6:6;9:17","3:7;6:6;82:7;9:12"
430106,"3:19;4:2;5:6;6:5","1:7;3:12;5:6;80:7"
430115,"4:5;5:4;6:2;9:17","3:12;4:5;5:4;9:7"
430118,"3:15;4:7;6:2;5:4","1:12;3:5;4:7;7:4"
430119,"4:5;5:4;6:2;9:17","3:12;4:5;5:4;9:7"
431047,"4:5;5:1;6:2;9:4","3:5;5:1;6:2;9:4"
431119,"5:11;4:3;6:4;9:7","3:11;4:3;6:4;9:7"
434024,"1:8;5:7;4:20","1:8;3:7;4:20;6:11"
434117,"4:11;6:9;7:16;8:29","4:29;5:9;6:16;8:11"
434160,"4:10;5:13;6:25;30:2","3:10;30:2;4:25;7:13"
434166,"3:25;4:10;6:13;30:2","1:25;3:13;30:2;4:10"
434169,"1:11;5:16;6:9;7:29","1:11;3:9;5:16;7:29"
434173,"1:11;5:16;6:9;7:29","1:11;3:9;5:16;7:29"
434174,"3:29;5:9;6:11;9:16","3:29;6:11;7:9;9:16"
434175,"4:9;5:16;6:11;9:29","3:29;5:16;7:9;9:11"
434177,"1:11;4:9;5:16;6:29","1:11;3:9;5:16;6:29"
434178,"3:29;4:11;5:16;6:9","1:11;3:29;5:16;6:9"
434181,"1:29;4:13;6:16;31:2","1:29;31:2;4:13;5:16"
434190,"3:29;4:16;5:13;31:2","1:29;3:13;31:2;4:16"
434202,"3:28;4:18;6:12;84:3","1:28;3:12;4:18;84:3"
434211,"4:17;6:23;9:32;79:13","3:17;32:3;4:12;9:32"
434214,"3:32;5:23;6:17;79:13","3:32;32:3;5:12;7:17"
434223,"1:27;4:16;7:14;76:3","1:27;3:10;4:16;76:3"
434235,"1:27;7:15;4:8;29:2","1:15;29:2;3:27;4:8"
434259,"1:32;5:18;7:12;83:2","1:32;3:12;5:18;83:2"
434283,"1:35;5:19;4:13;32:3","3:35;32:3;4:13;5:19"
434295,"4:27;5:10;9:16;78:3","3:10;4:27;78:3;9:16"
434298,"1:27;4:16;7:14;76:3","1:27;3:10;4:16;76:3"
434302,"9:27;5:8;4:15;31:2","3:15;31:2;5:8;9:27"
434307,"9:27;4:15;5:8;31:2","3:27;31:2;5:8;9:15"
434310,"1:27;7:15;4:8;29:2","1:15;29:2;3:27;4:8"
434319,"6:18;5:6;9:12;5:24;14:74;15:77;16:83","14:74;15:77;16:83;3:6;5:24;6:18;9:12"
434325,"1:32;5:12;6:18;83:2","1:32;3:12;6:18;83:2"
434334,"1:32;5:18;7:12;83:2","1:32;3:12;5:18;83:2"
434343,"9:32;6:17;5:10;31:2","3:17;31:2;7:10;9:32"
434355,"9:35;4:19;5:13;32:3","3:13;32:3;4:19;9:35"
434358,"1:35;5:19;4:13;32:3","3:35;32:3;4:13;5:19"
434418,"3:24;4:7;5:7;6:8","1:20;3:8;4:11;5:7"
434430,"3:25;5:7;6:6;29:1","1:19;3:12;7:7;86:1"
434442,"3:23;4:15;5:9;89:2","1:23;3:9;6:15;89:2"
434454,"3:32;5:9;6:10;79:10","1:16;3:26;5:9;79:10"
434510,"3:17;5:7;6:7;9:6","3:17;6:7;7:6;9:8"
434522,"3:15;4:10;9:6;84:2","3:15;4:10;9:6;94:12"
434534,"3:18;4:11;5:7;88:1","3:18;4:11;5:7;68:10"
434546,"3:13;5:7;9:20;79:8","3:13;33:3;5:7;9:20"
434551,"9:20;5:13;6:7;79:8","3:13;33:3;6:7;9:20"
434672,"1:24;7:6;4:18;5:12;14:74;15:82;16:79","1:24;14:74;15:82;16:79;3:6;4:18;5:12"
434766,"1:12;3:30;4:17;31:2","1:12;3:30;4:17;68:11"
434787,"6:19;5:13;9:35;79:14","3:19;5:13;79:14;9:35"
434863,"6:23;4:12;9:11;5:9","3:23;4:12;5:9;9:11"
434918,"5:9;4:30;9:17;30:2","3:9;30:2;4:30;9:17"
434930,"6:30;5:11;9:19;82:24","3:30;5:11;82:24;9:19"
434987,"7:30;8:17;5:9;30:2","3:9;30:2;7:30;8:17"
435021,"1:33;5:10;6:21;84:3","1:33;3:10;6:21;84:3"
435510,"3:32;4:10;5:3;6:12","3:25;4:13;5:10;7:9"
435535,"9:6;4:8;6:3","3:6;4:8;6:3;9:13"
436216,"1:16;5:8;4:29","1:16;3:8;4:29;5:12"
472479,"3:20;5:10;14:53;15:53;16:53;32:3","1:20;14:53;15:53;16:53;32:3;7:10"
473031,"1:33;7:26;76:2","1:33;7:26;89:2"
474495,"4:15;5:22;3:5;76:1","4:15;5:22;6:5;76:1"
477063,"1:26;6:10;7:18;76:2","1:26;6:10;7:18;89:2"
521970,"1:22","3:22"
533610,"5:10","4:10"
640724,"1:58;4:74;76:3","1:29;4:37;76:2"
650154,"1:4;3:10;5:9","1:4;3:10;5:6"
651000,"4:14;5:5;6:7","4:14;5:5;7:7"
651048,"1:9;4:6;7:7","1:9;4:6;5:7"
651126,"3:12;4:6;94:7","3:12;4:6;82:7"
651167,"4:6;5:7;9:8","4:6;5:7;9:9"
651179,"5:6;4:8;9:10;14:30;15:30;16:30","14:30;15:30;16:30;3:6;4:8;9:10"
659151,"9:16;5:18","3:16;5:18;9:19"
907022,"26:49","26:50"
907026,"26:99","26:100"
907028,"26:124","26:125"
907158,"14:84","14:82"
2000520,"0:13056;0:6400;0:6400;0:256;0:774;1:3;71:28524;97:29300;0:3072;13:18287;83:25441;0:257","14:51;15:117;16:51;29:1;5:25;6:25"
